,ds,matched_count,unsuccess_count,rev_count,unmatch_count,total_count,Channel
0,2021-10-01,376.6858205133077,144.49746037163663,0.0,20.965544946161586,521.4831707043911,7
1,2021-10-02,392.4399256762099,101.45151468493427,0.0,14.892912142738666,489.0341947891111,7
2,2021-10-03,278.04768003331486,58.29496060950261,0.0,33.399206222234675,353.2063035077633,7
3,2021-10-04,401.49907182355395,77.998984223931,0.0,22.72367318575003,483.0628174696211,7
4,2021-10-05,381.8236037538869,87.46513764049662,0.0,57.86019047600576,506.93424823862637,7
5,2021-10-06,391.8619745843196,165.89143700279254,0.0,-4.1938040583781895,532.0776329312059,7
6,2021-10-07,437.6847784171057,80.01593510121175,0.0,28.1384843649793,526.3345265293476,7
7,2021-10-08,391.9707595915472,144.72742145215074,0.0,22.884487140131462,540.3288733875952,7
8,2021-10-09,407.72486474519565,101.68147578029014,0.0,16.811854333195722,507.8798974726433,7
9,2021-10-10,293.3326190932869,58.52492171918057,0.0,35.31814840946559,372.05200619163475,7
10,2021-10-11,416.78401087424567,78.2289453482771,0.0,24.642615369431102,501.90852015359053,7
11,2021-10-12,397.10854287163045,87.6950987545845,0.0,59.779132656894035,525.7799509856347,7
12,2021-10-13,407.14691376837527,166.12139810654298,0.0,-2.274861880250217,550.9233357404862,7
13,2021-10-14,452.9697176769997,80.24589617988467,0.0,30.057426543691015,545.1802294007671,7
14,2021-10-15,407.2556989272877,144.95738250563238,0.0,24.803429319588357,559.1745763212176,7
15,2021-10-16,423.0098042110299,101.91143684312598,0.0,18.730796516568013,526.7256004655247,7
16,2021-10-17,308.61755868910893,58.75488279174128,0.0,37.237090596644464,390.89770924392604,7
17,2021-10-18,432.0689506000492,78.45890643011575,0.0,26.561557560674196,520.7542232651027,7
18,2021-10-19,412.39348265138335,87.9250598706621,0.0,61.69807485159248,544.6256540939004,7
19,2021-10-20,422.43185360274447,166.3513592570306,0.0,-0.35591968229935844,569.7690388461199,7
20,2021-10-21,468.2546577666997,80.47585735799521,0.0,31.976368747480013,564.0251695522276,7
21,2021-10-22,422.5406392725072,145.18734371145473,0.0,26.722371529077517,578.0187535186396,7
22,2021-10-23,438.2947447574181,102.1413980420255,0.0,20.649738728537656,545.5690147116112,7
23,2021-10-24,323.9024994369704,58.98484398348003,0.0,39.156032811220356,409.74036053886834,7
24,2021-10-25,447.3538915493268,78.68886761525422,0.0,28.4804997775687,539.5961116091071,7
25,2021-11-14,369.7573292767729,59.67472732612009,0.0,44.91285969859516,466.2614483204753,7
26,2021-11-15,493.2087216781757,79.37875094917888,0.0,34.23732667606066,596.1171994132746,7
27,2021-11-16,473.53325422036795,88.84490437438795,0.0,69.37384398046335,619.9878673141055,7
28,2021-11-17,483.57162566206,167.27120374531745,0.0,7.31984946017992,645.1304891378701,7
29,2021-11-18,529.3944301154384,81.39570183772541,0.0,39.65213790095057,639.3866198669364,7
30,2021-11-19,483.68042052821426,146.10718819758085,0.0,34.398140690809996,653.3802038377065,7
31,2021-11-20,499.43453492054545,103.06124253453375,0.0,28.325507898444755,620.9304650353788,7
32,2021-11-21,385.0422985071881,59.90468848270338,0.0,46.831801989105784,485.10181086714334,7
33,2021-11-22,508.49369952687016,79.60871212051873,0.0,36.156268963734114,614.9575619417618,7
34,2021-11-23,488.8182568167033,89.07486504456625,0.0,71.29278626241243,638.8282298264369,7
35,2021-11-24,498.8566530063482,167.5011639141564,0.0,9.238791736436404,663.9708516342106,7
36,2021-11-25,544.6794822070675,81.62566150522781,0.0,41.57108017171858,658.2269823468893,7
37,2021-11-26,498.9654887498417,146.33714734871742,0.0,36.317082958831904,672.2205663200099,7
38,2021-11-27,514.7196192718072,103.29120116943878,0.0,30.2444501637328,639.7708275198197,7
39,2021-11-28,400.32739904742266,60.134597959008744,0.0,48.750744246823416,503.9421733916192,7
40,2021-11-29,523.7788162557732,79.83857243871206,0.0,38.075211213695724,633.7979245062658,7
41,2021-11-30,504.1033736047564,89.30467672047003,0.0,73.21172850744894,657.6685924286421,7
42,2021-12-01,514.1417698533983,167.73092694786828,0.0,11.157733976641683,682.8112142741543,7
43,2021-12-02,559.9645991134815,81.85537589664284,0.0,43.490022406914946,677.0673450246568,7
44,2021-12-03,514.2506060644713,146.56681297434915,0.0,38.23602518747404,691.0609289913616,7
45,2021-12-04,530.0047369945585,103.52081802930057,0.0,32.16339238580992,658.6111901846663,7
46,2021-12-05,415.61251711916924,60.364214695073926,0.0,50.66968646746651,522.7825360121774,7
47,2021-12-06,539.063934676615,80.06818905104953,0.0,39.994153432850325,652.6382870826461,7
48,2021-12-07,519.3884923746851,89.53429320892937,0.0,75.13067072510256,676.5089549606819,7
49,2021-12-08,529.4268892983986,167.95419639884418,0.0,13.076676194671613,701.6515767288075,7
50,2021-12-09,575.2497192335114,82.07229830988736,0.0,45.4089646254984,695.9077074018189,7
51,2021-12-10,529.535726510604,146.77738847345978,0.0,40.15496740812888,709.9012913352755,7
52,2021-12-11,545.2898577672032,103.72504661429215,0.0,34.082334608595225,677.4515524958075,7
53,2021-12-12,430.89907091661104,60.554677375188255,0.0,52.58862870140811,541.6228983170247,7
54,2021-12-13,554.3519214993075,80.24488582592693,0.0,41.913095678202836,671.4786493815459,7
55,2021-12-14,534.6779122219787,89.69722407905756,0.0,77.0496129817019,695.3493172533102,7
56,2021-12-15,544.717741844606,168.10970827790283,0.0,14.995618460594436,720.4919390485242,7
57,2021-12-16,590.5420044786381,82.22039119803763,0.0,47.32790690070717,714.7480697487485,7
