,ds,matched_count,unsuccess_count,rev_count,unmatch_count,total_count
0,2022-01-01,128.97434789733842,14.031865873814834,4.096352705416966,13.882888458114786,158.67294418046194
1,2022-01-02,127.17441634427459,21.83221558980869,2.696319605436116,15.488144601728512,164.93938576817155
2,2022-01-03,106.97469347644558,12.033329442230649,5.4962631386715115,15.292979257751329,137.52384403082576
3,2022-01-04,122.68067740939739,25.87449676309306,3.3222708937917975,17.7157082749344,159.56732407589274
4,2022-01-05,137.93051294505412,16.375718478274834,4.072139510149237,15.469574301520367,172.18686325706705
5,2022-01-06,112.68093413002957,17.876467939914882,5.071977332641885,19.97625424963707,154.04911253998068
6,2022-01-07,151.18044215247966,22.877109832504118,6.071815149295658,22.48208791244618,201.20757563310949
7,2022-01-08,123.1871632188996,13.618700995667052,4.047901755633986,14.254555113828566,153.8201347129206
8,2022-01-09,121.38723166682338,21.419050712367216,2.647868655642862,15.85981126736011,160.0865762700312
9,2022-01-10,101.18750880021099,11.620164565065949,5.447812188847326,15.664645930105923,132.67103451484056
10,2022-01-11,116.89349273452615,25.461331886262016,3.273819943921582,18.087374949024806,154.71451454115416
11,2022-01-12,132.1433282715185,15.962553601907839,4.023688560220147,15.841240979034687,167.33405370288676
12,2022-01-13,106.89374945786403,17.463303064445057,5.023526382667559,20.347920925690747,149.1963029597072
13,2022-01-14,145.39325748172323,22.463944957855844,6.023364199323016,22.853754588725067,196.35476603583575
14,2022-01-15,117.39997854860373,13.205536121669228,3.9994508056533267,14.626221790023001,148.96732510658643
15,2022-01-16,115.60004699711713,21.005885838894034,2.599417705652887,16.231477937226522,155.23376666566196
16,2022-01-17,95.4003241308299,11.206999691706308,5.399361238865844,16.036312592703986,127.81822490988877
17,2022-01-18,111.10630806531556,25.04816701243206,3.225368993952986,18.45904160495152,149.8617049265413
18,2022-01-19,126.35614360220187,15.54938872791684,3.9752376102669875,16.212907624858808,162.4812441021151
19,2022-01-20,101.10656478826857,17.05013818961784,4.9750754327219235,20.719587559859754,144.34349337682966
20,2022-01-21,139.60607281185483,22.050780082083232,5.9749132493384725,23.225421209818787,191.50195645788355
21,2022-01-22,111.61279387847487,12.792371244623029,3.9509998555932344,14.997888400611387,144.1145155369054
22,2022-01-23,109.81286232666496,20.59272096110844,2.5509667555652054,16.603144536800045,150.38095708898967
23,2022-01-24,89.61313946016054,10.793834813409575,5.350910288721888,16.40797918271823,122.96541531357683
24,2022-01-25,105.31912339451159,24.635002133690126,3.176918043748189,18.830708188673974,145.00889531623204
25,2022-01-26,120.5689589314394,15.136223848371246,3.9267866600185197,16.584574203568263,157.62843446638323
26,2022-01-27,95.3193801175142,16.636973309515326,4.9266244824602765,21.09125413644473,139.49068371043606
27,2022-01-28,133.81888814105022,21.637615201672777,5.926462299063794,23.597087783778278,186.64914677414407
28,2022-01-29,105.82560920760352,12.379206363971399,3.902548905320856,15.369554971647704,139.2617058294186
29,2022-01-30,104.02567765594839,20.179556080072295,2.50251580528071,16.974811107960317,145.52814736466019
30,2022-01-31,83.82595478935357,10.380669932197215,5.302459338450044,16.77964575578277,118.11260558433456
31,2022-02-01,99.53193872376427,24.221837252494495,3.128467093473515,19.20237476174167,140.15608558706924
32,2022-02-02,114.78177426053453,14.723058967119313,3.8783357097490727,16.95624077662185,152.77562473700704
33,2022-02-03,89.53219544666985,16.22380842828805,4.878173532190365,21.46292070950696,134.6378739811466
34,2022-02-04,128.0317034701691,21.224450320419212,5.8780113488000705,23.968754356843228,181.79633704481765
35,2022-02-05,100.03842453680971,11.966041482716488,3.8540979550530077,15.741221544698046,134.4088961001609
36,2022-02-06,98.2384929850761,19.766391198855796,2.4540648550080233,17.346477681023618,140.67533763534558
37,2022-02-07,78.03877011854662,9.967505050984853,5.2540083881782,17.15131232884731,113.25979585509229
38,2022-02-08,93.7447540529143,23.808672371270152,3.0800161431999307,19.574041334799464,135.30327585776607
39,2022-02-09,108.9945895897952,14.309894085949468,3.8298847594727574,17.32790734970052,147.92281500788255
40,2022-02-10,83.745010775852,15.810643547100002,4.8297225819062595,21.834587282562982,129.785064251889
41,2022-02-11,122.2445187993425,20.811285439251783,5.829560398519274,24.340420929915126,176.9435273155799
42,2022-02-12,94.25123986592659,11.55287660151699,3.8056470047746287,16.112888117760278,129.55608637083805
43,2022-02-13,92.45130831420387,19.353226317639294,2.4056139047353358,17.718144254086923,135.82252790603096
44,2022-02-14,72.25158544773964,9.554340169772495,5.205557437906355,17.52297890191185,108.40698612585001
45,2022-02-15,87.9575693820049,23.39550749004436,3.031565192932452,19.945707907866307,130.4504661284163
